"UKPRN","Institution","Subject","Level","Mode ","First class honours","Upper second class honours","Lower / undivided second class honours","Other honours / pass","Ordinary degree","Not subject to classification","Two years aggregate data?"
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",5%,20%,20%,50%,0%,0%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.69) Media studies","First degree","Full-time",20%,30%,40%,10%,0%,0%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.95) Fine Art","First degree","Full-time",40%,25%,25%,15%,0%,0%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.98) Drama","First degree","Full-time",15%,30%,30%,25%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","First degree","Full-time",7%,42%,43%,8%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","First degree","Part-time",11%,33%,36%,20%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.08) Ophthalmics","First degree","Full-time",15%,65%,20%,0%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.10) Medical Technology","First degree","Part-time",15%,30%,35%,20%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.12) Biology","First degree","Full-time",15%,40%,35%,5%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.13) Zoology","First degree","Full-time",15%,50%,25%,10%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.17) Others in Biological Sciences","First degree","Full-time",5%,45%,40%,5%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.19) Psychology","First degree","Full-time",21%,36%,43%,0%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.27) Forensic and Archaeological Science","First degree","Full-time",30%,45%,25%,5%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Full-time",16%,34%,37%,13%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Part-time",14%,47%,34%,5%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.36) General Engineering","First degree","Full-time",20%,50%,25%,5%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.36) General Engineering","First degree","Part-time",45%,45%,10%,0%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.41) Civil Engineering","First degree","Part-time",15%,45%,10%,25%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.46) Others in Technology","First degree","Full-time",20%,50%,25%,10%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Full-time",5%,40%,50%,5%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Part-time",6%,44%,37%,13%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.54) Sociology","First degree","Full-time",15%,50%,30%,5%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.55) Social Policy","First degree","Full-time",11%,41%,36%,12%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","First degree","Full-time",3%,57%,28%,12%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","First degree","Part-time",0%,40%,25%,35%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.60) Law","First degree","Full-time",3%,39%,53%,5%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","First degree","Full-time",12%,34%,41%,12%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","First degree","Part-time",15%,40%,25%,20%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.62) Marketing","First degree","Full-time",10%,45%,40%,10%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.63) Management studies","First degree","Full-time",10%,30%,50%,10%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.66) Accounting","First degree","Full-time",25%,30%,40%,10%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.69) Media studies","First degree","Full-time",13%,39%,43%,5%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.71) Publicity studies","First degree","Full-time",5%,55%,35%,5%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.75) English studies","First degree","Full-time",6%,54%,38%,2%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.90) History","First degree","Full-time",0%,50%,45%,10%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.92) Others in Historical and Philosophical studies","First degree","Full-time",0%,45%,50%,10%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.96) Design studies","First degree","Full-time",13%,50%,26%,11%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.97) Music","First degree","Full-time",10%,45%,40%,5%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.98) Drama","First degree","Full-time",10%,50%,30%,10%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.100) Cinematics and Photography","First degree","Full-time",7%,57%,24%,12%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.102) Others in Creative Arts and Design","First degree","Full-time",5%,65%,20%,5%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","First degree","Full-time",10%,25%,45%,20%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","First degree","Part-time",19%,49%,15%,17%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.108) Initial Teacher Training","First degree","Full-time",12%,62%,24%,2%,0%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.67) Tourism, Transport and Travel","First degree","Full-time",30%,40%,25%,5%,0%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.95) Fine Art","First degree","Full-time",20%,35%,40%,5%,0%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.96) Design studies","First degree","Full-time",7%,42%,43%,8%,0%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.98) Drama","First degree","Full-time",15%,58%,26%,1%,0%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.100) Cinematics and Photography","First degree","Full-time",11%,47%,32%,10%,0%,0%,
10000415,"ASKHAM BRYAN COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Full-time",5%,45%,20%,25%,0%,0%,"Y"
10000415,"ASKHAM BRYAN COLLEGE","(L3.63) Management studies","First degree","Full-time",30%,35%,15%,20%,0%,0%,"Y"
10000571,"BATH SPA UNIVERSITY","(L3.07) Nutrition","First degree","Full-time",10%,55%,20%,15%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.19) Psychology","First degree","Full-time",0%,60%,35%,5%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",10%,45%,45%,5%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.54) Sociology","First degree","Full-time",10%,30%,55%,0%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.61) Business studies","First degree","Full-time",0%,53%,43%,4%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.67) Tourism, Transport and Travel","First degree","Full-time",10%,30%,55%,10%,0%,0%,"Y"
10000571,"BATH SPA UNIVERSITY","(L3.69) Media studies","First degree","Full-time",0%,60%,35%,0%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.75) English studies","First degree","Full-time",7%,72%,21%,0%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.90) History","First degree","Full-time",3%,63%,31%,3%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.92) Others in Historical and Philosophical studies","First degree","Full-time",10%,55%,30%,0%,0%,0%,"Y"
10000571,"BATH SPA UNIVERSITY","(L3.94) Theology and Religious studies","First degree","Full-time",15%,55%,25%,5%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.95) Fine Art","First degree","Full-time",11%,57%,29%,3%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.96) Design studies","First degree","Full-time",15%,51%,28%,7%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.97) Music","First degree","Full-time",6%,71%,22%,2%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.98) Drama","First degree","Full-time",3%,72%,25%,0%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.99) Dance","First degree","Full-time",5%,55%,35%,5%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.101) Imaginative Writing","First degree","Full-time",11%,79%,11%,0%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.102) Others in Creative Arts and Design","First degree","Full-time",10%,55%,20%,15%,0%,0%,"Y"
10000571,"BATH SPA UNIVERSITY","(L3.105) Academic studies in Education","First degree","Full-time",13%,54%,29%,3%,0%,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",2%,22%,55%,21%,0%,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.23) Food and Beverage studies","First degree","Full-time",30%,35%,20%,15%,0%,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.61) Business studies","First degree","Full-time",5%,10%,35%,45%,0%,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.62) Marketing","First degree","Full-time",10%,26%,52%,12%,0%,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.67) Tourism, Transport and Travel","First degree","Full-time",10%,36%,38%,16%,0%,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.67) Tourism, Transport and Travel","First degree","Part-time",9%,18%,40%,33%,0%,0%,"Y"
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","First degree","Full-time",3%,15%,42%,40%,0%,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","First degree","Part-time",15%,20%,35%,30%,0%,0%,
10000721,"BISHOP BURTON COLLEGE","(L3.12) Biology","First degree","Full-time",10%,30%,55%,10%,0%,0%,
10000721,"BISHOP BURTON COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Full-time",20%,30%,25%,20%,0%,0%,
10000721,"BISHOP BURTON COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Part-time",0%,0%,0%,100%,0%,0%,"Y"
10000747,"BLACKBURN COLLEGE","(L3.54) Sociology","First degree","Full-time",15%,50%,35%,0%,0%,0%,
10000747,"BLACKBURN COLLEGE","(L3.60) Law","First degree","Full-time",5%,15%,60%,25%,0%,0%,"Y"
10000747,"BLACKBURN COLLEGE","(L3.63) Management studies","First degree","Full-time",20%,40%,40%,0%,0%,0%,"Y"
