"UKPRN","Institution Name","Subject","Full-time","Part-time","Postgraduate","First Degree","Other Undergraduate","Two years aggregate data?"
10000055,"ABINGDON AND WITNEY COLLEGE"," (L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects",100%,0%,0%,0%,100%,"Y"
10000055,"ABINGDON AND WITNEY COLLEGE"," (L3.35) Computer Science",65%,40%,0%,0%,100%,
10000055,"ABINGDON AND WITNEY COLLEGE"," (L3.37) Mechanical, Production and Manufacturing Engineering",0%,100%,0%,0%,100%,"Y"
10000055,"ABINGDON AND WITNEY COLLEGE"," (L3.40) Electronic and Electrical Engineering",0%,100%,0%,0%,100%,"Y"
10000055,"ABINGDON AND WITNEY COLLEGE"," (L3.106) Others in Education",100%,0%,0%,0%,100%,
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE"," (L3.05) Nursing",100%,0%,0%,0%,100%,"Y"
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE"," (L3.11) Others in Subjects allied to Medicine",85%,15%,0%,77%,23%,
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE"," (L3.48) Building",0%,100%,0%,0%,100%,
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE"," (L3.58) Social Work",60%,40%,0%,0%,100%,"Y"
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE"," (L3.69) Media studies",95%,5%,0%,100%,0%,"Y"
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE"," (L3.75) English studies",60%,40%,0%,100%,0%,
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE"," (L3.97) Music",94%,6%,0%,0%,100%,
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE"," (L3.98) Drama",90%,10%,0%,0%,100%,"Y"
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE"," (L3.105) Academic studies in Education",55%,45%,0%,25%,75%,
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE"," (L3.106) Others in Education",35%,65%,0%,25%,75%,
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,38%,0%,63%,
10000256,"ALTON COLLEGE"," (L3.105) Academic studies in Education",0%,100%,0%,0%,100%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.37) Mechanical, Production and Manufacturing Engineering",0%,100%,0%,0%,100%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.63) Management studies",0%,100%,0%,0%,100%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.69) Media studies",100%,0%,0%,35%,65%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.90) History",0%,100%,0%,0%,100%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.95) Fine Art",100%,0%,0%,55%,45%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.96) Design studies",95%,5%,0%,40%,60%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.97) Music",100%,0%,0%,0%,100%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.98) Drama",96%,4%,0%,30%,70%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.100) Cinematics and Photography",93%,7%,0%,10%,90%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.102) Others in Creative Arts and Design",0%,100%,0%,0%,100%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.105) Academic studies in Education",0%,100%,0%,0%,100%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,0%,0%,100%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.05) Nursing",47%,53%,4%,19%,77%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.08) Ophthalmics",21%,79%,1%,20%,79%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.09) Aural and Oral Sciences",0%,100%,0%,0%,100%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.10) Medical Technology",19%,81%,44%,34%,21%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.11) Others in Subjects allied to Medicine",21%,79%,47%,14%,39%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.12) Biology",80%,20%,4%,94%,2%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.13) Zoology",94%,6%,0%,100%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.16) Molecular Biology, Biophysics and Biochemistry",80%,20%,0%,80%,20%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.17) Others in Biological Sciences",72%,28%,3%,84%,14%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.18) Sports Science",95%,5%,0%,100%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.19) Psychology",94%,6%,0%,97%,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects",100%,0%,0%,100%,0%,"Y"
