"UKPRN","Institution","Subject","Level","Mode","Continuing at institution","Gained intended award or higher","Gained other award at a lower level","Left without award","Dormant","Two years aggregate data?"
10000055,"ABINGDON AND WITNEY COLLEGE","(L3.106) Others in Education","Other undergraduate","Full-time",93%,0%,0%,4%,4%,
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE","(L3.48) Building","Other undergraduate","Full-time",45%,0%,0%,55%,0%,
10000093,"ACCRINGTON AND ROSSENDALE COLLEGE","(L3.97) Music","Other undergraduate","Full-time",65%,5%,5%,30%,0%,
10000256,"ALTON COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Part-time",90%,0%,0%,10%,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.63) Management studies","Other undergraduate","Part-time",75%,5%,5%,5%,10%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.98) Drama","First degree","Full-time",0%,90%,0%,5%,5%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.98) Drama","Other undergraduate","Full-time",80%,0%,0%,10%,5%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.100) Cinematics and Photography","Other undergraduate","Full-time",75%,0%,0%,10%,10%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.102) Others in Creative Arts and Design","Other undergraduate","Part-time",15%,5%,0%,4%,77%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",25%,50%,0%,20%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","First degree","Full-time",75%,0%,8%,14%,2%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","First degree","Part-time",64%,8%,1%,22%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","Other undergraduate","Full-time",71%,1%,6%,19%,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","Other undergraduate","Part-time",2%,67%,0%,18%,13%,
