"UKPRN","Institution","Subject","Destination","Postgraduate","Two years aggregate data (Postgraduate/Full-time)?","First degree","Two years aggregate data (First degree/Full-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Full-time)?","Postgraduate","Two years aggregate data (Postgraduate/Part-time)?","First degree","Two years aggregate data (First degree/Part-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Part-time)?"
10000055,"ABINGDON AND WITNEY COLLEGE","(L3.106) Others in Education","Working Only",0%,,0%,,50%,,0%,,0%,,0%,
10000055,"ABINGDON AND WITNEY COLLEGE","(L3.106) Others in Education","Studying Only",0%,,0%,,10%,,0%,,0%,,0%,
10000055,"ABINGDON AND WITNEY COLLEGE","(L3.106) Others in Education","Working & Studying",0%,,0%,,35%,,0%,,0%,,0%,
10000055,"ABINGDON AND WITNEY COLLEGE","(L3.106) Others in Education","Not available for work or study",0%,,0%,,5%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.63) Management studies","Working Only",0%,,0%,,0%,,0%,,0%,,65%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.63) Management studies","Studying Only",0%,,0%,,0%,,0%,,0%,,20%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.63) Management studies","Working & Studying",0%,,0%,,0%,,0%,,0%,,15%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.98) Drama","Working Only",0%,,85%,,5%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.98) Drama","Studying Only",0%,,5%,,80%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.98) Drama","Working & Studying",0%,,10%,,0%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.98) Drama","Assumed to be unemployed",0%,,5%,,5%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.98) Drama","Not available for work or study",0%,,0%,,10%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.100) Cinematics and Photography","Working Only",0%,,0%,,35%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.100) Cinematics and Photography","Studying Only",0%,,0%,,50%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.100) Cinematics and Photography","Assumed to be unemployed",0%,,0%,,10%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.100) Cinematics and Photography","Not available for work or study",0%,,0%,,5%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.102) Others in Creative Arts and Design","Working Only",0%,,0%,,0%,,0%,,0%,,15%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.102) Others in Creative Arts and Design","Studying Only",0%,,0%,,0%,,0%,,0%,,25%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.102) Others in Creative Arts and Design","Working & Studying",0%,,0%,,0%,,0%,,0%,,10%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.102) Others in Creative Arts and Design","Not available for work or study",0%,,0%,,0%,,0%,,0%,,50%,"Y"
