"UKPRN","Institution","Subject","Job Category","Postgraduate","Two years aggregate data (Postgraduate/Full-time)?","First degree","Two years aggregate data (First degree/Full-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Full-time)?","Postgraduate","Two years aggregate data (Postgraduate/Part-time)?","First degree","Two years aggregate data (First degree/Part-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Part-time)?"
10000055,"ABINGDON AND WITNEY COLLEGE","(L3.106) Others in Education","Graduate job",0%,,0%,,30%,,0%,,0%,,0%,
10000055,"ABINGDON AND WITNEY COLLEGE","(L3.106) Others in Education","Non-graduate job",0%,,0%,,70%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.98) Drama","Graduate job",0%,,35%,"Y",0%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.98) Drama","Non-graduate job",0%,,65%,"Y",0%,,0%,,0%,,0%,
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.108) Initial Teacher Training","Graduate job",0%,,0%,,0%,,0%,,0%,,95%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.108) Initial Teacher Training","Non-graduate job",0%,,0%,,0%,,0%,,0%,,5%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","Graduate job",0%,,96%,,97%,,0%,,100%,,97%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","Non-graduate job",0%,,4%,,3%,,0%,,0%,,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.08) Ophthalmics","Graduate job",0%,,65%,,0%,,0%,,0%,,15%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.08) Ophthalmics","Non-graduate job",0%,,35%,,0%,,0%,,0%,,85%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Graduate job",95%,"Y",0%,,0%,,100%,"Y",0%,,75%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Non-graduate job",5%,"Y",0%,,0%,,0%,,0%,,25%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.12) Biology","Graduate job",0%,,35%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.12) Biology","Non-graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.12) Biology","Unknown",0%,,5%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.19) Psychology","Graduate job",0%,,35%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.19) Psychology","Non-graduate job",0%,,65%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.27) Forensic and Archaeological Science","Graduate job",0%,,45%,"Y",0%,,85%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.27) Forensic and Archaeological Science","Non-graduate job",0%,,55%,"Y",0%,,15%,"Y",0%,,0%,
