"UKPRN","Institution","Subject","Level","Question number","answered 1","answered 2","answered 3","answered 4","answered 5","N/A","Confidence interval - min","Actual value","Confidence interval - max","Number of Respondents","Sample size","Two years aggregate data?"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q1",4%,8%,23%,46%,19%,0,44%,65%,82%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q2",0%,12%,27%,46%,15%,0,41%,62%,79%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q3",0%,12%,8%,56%,24%,1,59%,80%,92%,25,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q4",0%,0%,12%,38%,50%,0,69%,88%,96%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q5",12%,15%,8%,27%,38%,0,44%,65%,82%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q6",4%,8%,8%,46%,35%,0,60%,81%,92%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q7",4%,8%,27%,23%,38%,0,41%,62%,79%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q8",4%,12%,4%,35%,46%,0,60%,81%,92%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q9",4%,15%,4%,58%,19%,0,56%,77%,90%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q10",0%,23%,27%,35%,15%,0,30%,50%,70%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q11",8%,8%,12%,38%,35%,0,52%,73%,87%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q12",4%,4%,32%,44%,16%,1,39%,60%,78%,25,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q13",0%,14%,9%,45%,32%,4,54%,77%,91%,22,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q14",4%,40%,8%,32%,16%,1,28%,48%,68%,25,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q15",4%,15%,31%,35%,15%,0,30%,50%,70%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q16",15%,15%,19%,35%,15%,0,30%,50%,70%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q17",5%,5%,18%,45%,27%,4,50%,73%,88%,22,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q18",19%,0%,38%,25%,19%,10,21%,44%,69%,16,35,
